Total_order,First_order,Total_order_CI,First_order_CI
0.0024223854346061306,-0.0005580745600192662,0.001455142372071621,0.000677707335404658
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.01255445587674039,-2.2838517409448877e-5,0.010256178098757857,2.5627268866620683e-5
0.0024604543477237013,-2.4102538184588512e-5,0.0017133203860333793,2.3457193269142477e-5
0.008217331296086716,-2.21746025630083e-5,0.0069444614974999656,2.479680029044737e-5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.8040348579491328,0.11179413029133829,1.253146869068131,0.01336430680792935
0.0034743109606820166,-0.0006366166586337518,0.0024330240808932606,0.0003940783754659268
9.709229010621972e6,0.025379745014553094,9.709229008486014e6,0.025847542760548747
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
43.592567959637194,0.0001612433843488545,43.581344235556614,0.00018929888569174522
1.888467999600239e7,0.36189982233704737,1.3399185559964621e7,0.3374208750746733
1.115199934743673e9,-790.8504557013362,1.105437920197661e9,790.8764825019914
2.1956423400354046e7,1.2609210099864063,1.4521289425890356e7,0.8307782153807063
570042.1786910547,-43.90431524370849,570042.1590432727,43.90431815834411
1.2263959636704531,4.1726087981042665e-5,1.1966033127339784,6.671346260488973e-5
4.804320238805862e7,0.08103016240937451,4.8043201312615596e7,0.08104694301426311
1.1013549097159385,0.47547904564067633,0.1666944767244824,0.029827859553461476
5.546167398333665e7,-122.44176266811988,4.7970548461499855e7,122.6388851728693
